Feature A (i)	Feature A (i)-noFeature_C_(-i)	Feature B (2i)	Feature B (2i)-noFeature_C_(-i)	Feature C (-i)	Feature C (-i)-noFeature_C_(-i)	Constant Feature	Constant Feature-noFeature_C_(-i)	Random Feature	Random Feature-noFeature_C_(-i)	Outcome	Outcome-noFeature_C_(-i)
4075	2752	8150	5504	-4075	-1212	1	1	0.4280047670445961	0.45243048498421456	B	B
4076	2752	8152	5504	-4076	-1212	1	1	0.2872989874115054	0.2944125893639117	B	B
4078	2758	8156	5516	-4078	-1212	1	1	0.9069890580217105	0.9027350063094405	B	B
4080	2758	8160	5516	-4080	-1212	1	1	0.09150716953571736	0.09631320509214214	B	B
4081	2758	8162	5516	-4081	-1212	1	1	0.012326831460721666	0.008592140326145858	B	B
4083	2764	8166	5528	-4083	-1212	1	1	0.503431843386992	0.5364676566761873	B	B
4084	2764	8168	5528	-4084	-1212	1	1	0.9561384899405271	0.9550538593999985	B	B
4085	2764	8170	5528	-4085	-1212	1	1	0.3230520258409235	0.3328687627974606	B	B
4086	2764	8172	5528	-4086	-1212	1	1	0.08133375305090507	0.09631320509214214	B	B
4087	2764	8174	5528	-4087	-1212	1	1	0.9027350063094405	0.9027350063094405	B	B
4089	2769	8178	5538	-4089	-1212	1	1	0.13818660734956456	0.1520372454774349	B	B
4090	2769	8180	5538	-4090	-1212	1	1	0.790190749331811	0.7922948059168434	B	B
4091	2769	8182	5538	-4091	-1212	1	1	0.9789670181133477	0.985744768217679	B	B
4096	2775	8192	5550	-4096	-1212	1	1	0.404876382968279	0.4283262058113855	B	B
4097	2775	8194	5550	-4097	-1212	1	1	0.8132357117259059	0.8285385294664941	B	B
4098	2775	8196	5550	-4098	-1212	1	1	0.5577067029168032	0.5979874343679255	B	B
4101	2781	8202	5562	-4101	-1212	1	1	0.22424480711411676	0.23168224529179748	B	B
4102	2781	8204	5562	-4102	-1212	1	1	0.38893551887774547	0.3976380625702378	B	B
4103	2781	8206	5562	-4103	-1212	1	1	0.27801185893536884	0.27476148850200977	B	B
4104	2781	8208	5562	-4104	-1212	1	1	0.3777819460233164	0.3837438429114993	B	B
4105	2781	8210	5562	-4105	-1212	1	1	0.3821877532659339	0.3976380625702378	B	B
4106	2787	8212	5574	-4106	-1212	1	1	0.10219761901105773	0.1179020570763114	B	B
4107	2787	8214	5574	-4107	-1212	1	1	0.6073665421501413	0.6336483877439453	B	B
4108	2787	8216	5574	-4108	-1212	1	1	0.40808704798351647	0.4283262058113855	B	B
4110	2787	8220	5574	-4110	-1212	1	1	0.2879663390498195	0.2944125893639117	B	B
4111	2787	8222	5574	-4111	-1212	1	1	0.39622860124788717	0.41618841333222234	B	B
4112	2793	8224	5586	-4112	-1212	1	1	0.23978659518900325	0.25854697252696457	B	B
4113	2793	8226	5586	-4113	-1212	1	1	0.9051614863763957	0.9027350063094405	B	B
4115	2793	8230	5586	-4115	-1212	1	1	0.7505750945129354	0.7588862688703896	B	B
4116	2793	8232	5586	-4116	-1212	1	1	0.09163749713822178	0.09631320509214214	B	B
4117	2798	8234	5596	-4117	-1212	1	1	0.8307717795941028	0.8457692599892734	B	B
4118	2798	8236	5596	-4118	-1212	1	1	0.6419198398713383	0.6618908494241688	B	B
4119	2798	8238	5596	-4119	-1212	1	1	0.5768850044815428	0.5979874343679255	B	B
4121	2798	8242	5596	-4121	-1212	1	1	0.6136028554471972	0.6336483877439453	B	B
4122	2798	8244	5596	-4122	-1212	1	1	0.06061367877403323	0.062353353740606354	B	B
4124	2804	8248	5608	-4124	-1212	1	1	0.4440162996965442	0.4824381759363401	B	B
4126	2804	8252	5608	-4126	-1212	1	1	0.07039671047667928	0.07522454865778105	B	B
4128	2804	8256	5608	-4128	-1212	1	1	0.5118150629701416	0.5468257337781519	B	B
4129	2810	8258	5620	-4129	-1212	1	1	0.9125836326854219	0.9201280995449436	B	B
4133	2810	8266	5620	-4133	-1212	1	1	0.07916901463049175	0.07522454865778105	B	B
4134	2810	8268	5620	-4134	-1212	1	1	0.24874811108049832	0.27476148850200977	B	B
4135	2816	8270	5632	-4135	-1212	1	1	0.5843310199692845	0.5979874343679255	B	B
4136	2816	8272	5632	-4136	-1212	1	1	0.009600900103332144	0.008592140326145858	B	B
4138	2816	8276	5632	-4138	-1212	1	1	0.662606032666309	0.6618908494241688	B	B
4139	2816	8278	5632	-4139	-1212	1	1	0.24770135038991692	0.25854697252696457	B	B
4140	2816	8280	5632	-4140	-1212	1	1	0.6378547869301292	0.6618908494241688	B	B
4141	2822	8282	5644	-4141	-1212	1	1	0.35749903987207954	0.3645500084328399	B	B
4142	2822	8284	5644	-4142	-1212	1	1	0.04697733675734639	0.062353353740606354	B	B
4143	2822	8286	5644	-4143	-1212	1	1	0.5066455003065158	0.5468257337781519	B	B
4144	2822	8288	5644	-4144	-1212	1	1	0.4430584918438548	0.4824381759363401	B	B
4148	2827	8296	5654	-4148	-1212	1	1	0.5329611426614984	0.5687152792565979	B	B
4152	2833	8304	5666	-4152	-1212	1	1	0.8036742401805846	0.8055533991471695	B	B
4153	2833	8306	5666	-4153	-1212	1	1	0.11876507561798888	0.13575200988301828	B	B
4156	2833	8312	5666	-4156	-1212	1	1	0.5778596087260076	0.5979874343679255	B	B
4158	2839	8316	5678	-4158	-1212	1	1	0.19504717165641683	0.20132664405148248	B	B
4159	2839	8318	5678	-4159	-1212	1	1	0.20010997225417548	0.20132664405148248	B	B
4160	2839	8320	5678	-4160	-1212	1	1	0.0029239831806422423	0.008592140326145858	B	B
4161	2839	8322	5678	-4161	-1212	1	1	0.7310514414201513	0.7386408776802375	B	B
4162	2839	8324	5678	-4162	-1212	1	1	0.8094404654685591	0.8285385294664941	B	B
4163	2839	8326	5678	-4163	-1212	1	1	0.0017852646502894975	0.008592140326145858	B	B
4164	2845	8328	5690	-4164	-1212	1	1	0.6022404080874642	0.6336483877439453	B	B
4165	2845	8330	5690	-4165	-1212	1	1	0.699565278653596	0.7025024851846564	B	B
4169	2845	8338	5690	-4169	-1212	1	1	0.7188213559707701	0.7386408776802375	B	B
4171	2851	8342	5702	-4171	-1212	1	1	0.06714864958516709	0.062353353740606354	B	B
4172	2851	8344	5702	-4172	-1212	1	1	0.47019110929408114	0.4982817158659174	B	B
4173	2851	8346	5702	-4173	-1212	1	1	0.06897818847337256	0.07522454865778105	B	B
4174	2851	8348	5702	-4174	-1212	1	1	0.8382073220216372	0.8457692599892734	B	B
4175	2856	8350	5712	-4175	-1212	1	1	0.16963691621632082	0.1642650866458556	B	B
4176	2856	8352	5712	-4176	-1212	1	1	0.030847232060018714	0.040223196869210165	B	B
4177	2856	8354	5712	-4177	-1212	1	1	0.2926872366792561	0.3154430469533932	B	B
4178	2856	8356	5712	-4178	-1212	1	1	0.4807220806016401	0.5200480604633302	B	B
4179	2856	8358	5712	-4179	-1212	1	1	0.6706787640236962	0.6827160525262556	B	B
4180	2856	8360	5712	-4180	-1212	1	1	0.19353439232414882	0.20132664405148248	B	B
4181	2862	8362	5724	-4181	-1212	1	1	0.8676440257811685	0.8839101610867179	B	B
4182	2862	8364	5724	-4182	-1212	1	1	0.3097105988063985	0.3328687627974606	B	B
4183	2862	8366	5724	-4183	-1212	1	1	0.09605669519781168	0.1179020570763114	B	B
4185	2862	8370	5724	-4185	-1212	1	1	0.7378512678266489	0.7588862688703896	B	B
4186	2862	8372	5724	-4186	-1212	1	1	0.1526963308743884	0.1642650866458556	B	B
4187	2868	8374	5736	-4187	-1212	1	1	0.6656912539964397	0.6618908494241688	B	B
4189	2868	8378	5736	-4189	-1212	1	1	0.43806694456883644	0.47641504446250105	B	B
4190	2868	8380	5736	-4190	-1212	1	1	0.3444570196855439	0.350578695746261	B	B
4191	2868	8382	5736	-4191	-1212	1	1	0.4029442377772189	0.4283262058113855	B	B
4192	2868	8384	5736	-4192	-1212	1	1	0.9391222707713944	0.940938327787818	B	B
4194	2874	8388	5748	-4194	-1212	1	1	0.23645838769348837	0.25854697252696457	B	B
4195	2874	8390	5748	-4195	-1212	1	1	0.1355109738966579	0.1520372454774349	B	B
4196	2874	8392	5748	-4196	-1212	1	1	0.7040664427575583	0.7025024851846564	B	B
4197	2874	8394	5748	-4197	-1212	1	1	0.4403672917541248	0.47641504446250105	B	B
4198	2879	8396	5758	-4198	-1212	1	1	0.03134633278406018	0.040223196869210165	B	B
4200	2879	8400	5758	-4200	-1212	1	1	0.635996077502093	0.6482322739693153	B	B
4201	2879	8402	5758	-4201	-1212	1	1	0.3378832663546296	0.350578695746261	B	B
4202	2879	8404	5758	-4202	-1212	1	1	0.20216582353653234	0.20132664405148248	B	B
4203	2879	8406	5758	-4203	-1212	1	1	0.26710075624665985	0.27476148850200977	B	B
4204	2885	8408	5770	-4204	-1212	1	1	0.39515696494276253	0.41618841333222234	B	B
4205	2885	8410	5770	-4205	-1212	1	1	0.6658943767928748	0.6827160525262556	B	B
4206	2885	8412	5770	-4206	-1212	1	1	0.4626491276973548	0.4982817158659174	B	B
4207	2885	8414	5770	-4207	-1212	1	1	0.983638317863721	0.985744768217679	B	B
4208	2885	8416	5770	-4208	-1212	1	1	0.5969230964332723	0.6131793130866995	B	B
4209	2885	8418	5770	-4209	-1212	1	1	0.10878216217746728	0.13575200988301828	B	B
4210	2891	8420	5782	-4210	-1212	1	1	0.97895065979651	0.985744768217679	B	B
4211	2891	8422	5782	-4211	-1212	1	1	0.09985322961862264	0.1179020570763114	B	B
4213	2891	8426	5782	-4213	-1212	1	1	0.3729380546397789	0.3837438429114993	B	B
4215	2891	8430	5782	-4215	-1212	1	1	0.6829093398279296	0.6827160525262556	B	B
4216	2897	8432	5794	-4216	-1212	1	1	0.11898856335238339	0.1520372454774349	B	B
4217	2897	8434	5794	-4217	-1212	1	1	0.018141218548647697	0.024809866852586904	B	B
4218	2897	8436	5794	-4218	-1212	1	1	0.9632854635508141	0.9708335991200716	B	B
4220	2897	8440	5794	-4220	-1212	1	1	0.9610684674254623	0.9550538593999985	B	B
4221	2897	8442	5794	-4221	-1212	1	1	0.07860091103821909	0.07522454865778105	B	B
4222	2903	8444	5806	-4222	-1212	1	1	0.48846512925553265	0.5200480604633302	B	B
4224	2903	8448	5806	-4224	-1212	1	1	0.31847950390572954	0.3328687627974606	B	B
4225	2903	8450	5806	-4225	-1212	1	1	0.8178566486390546	0.8285385294664941	B	B
4226	2903	8452	5806	-4226	-1212	1	1	0.44222914593611196	0.47641504446250105	B	B
4227	2908	8454	5816	-4227	-1212	1	1	0.09445680959764047	0.1179020570763114	B	B
4228	2908	8456	5816	-4228	-1212	1	1	0.7621883475011079	0.7741845154294321	B	B
4230	2908	8460	5816	-4230	-1212	1	1	0.5457035770407775	0.582537627789942	B	B
4231	2908	8462	5816	-4231	-1212	1	1	0.5048095976356812	0.5364676566761873	B	B
4232	2908	8464	5816	-4232	-1212	1	1	0.7284217589702133	0.7386408776802375	B	B
4236	2914	8472	5828	-4236	-1212	1	1	0.13375090784602672	0.1520372454774349	B	B
4237	2914	8474	5828	-4237	-1212	1	1	0.7537098259752755	0.7741845154294321	B	B
4240	2920	8480	5840	-4240	-1212	1	1	0.17015198865155878	0.1642650866458556	B	B
4241	2920	8482	5840	-4241	-1212	1	1	0.09186242394441502	0.09631320509214214	B	B
4242	2920	8484	5840	-4242	-1212	1	1	0.2312611731569585	0.25854697252696457	B	B
4243	2920	8486	5840	-4243	-1212	1	1	0.527755500262196	0.5687152792565979	B	B
4246	2926	8492	5852	-4246	-1212	1	1	0.8634633950751956	0.8710826164665462	B	B
4247	2926	8494	5852	-4247	-1212	1	1	0.3530970753712934	0.3645500084328399	B	B
4248	2926	8496	5852	-4248	-1212	1	1	0.6349522197376376	0.6482322739693153	B	B
4249	2926	8498	5852	-4249	-1212	1	1	0.49485793924820753	0.5364676566761873	B	B
4250	2926	8500	5852	-4250	-1212	1	1	0.3738990501499688	0.3837438429114993	B	B
4251	2932	8502	5864	-4251	-1212	1	1	0.2168200107476519	0.23168224529179748	B	B
4253	2932	8506	5864	-4253	-1212	1	1	0.031118125955550302	0.040223196869210165	B	B
4254	2932	8508	5864	-4254	-1212	1	1	0.38082009204109757	0.3976380625702378	B	B
4255	2932	8510	5864	-4255	-1212	1	1	0.9512145016390069	0.940938327787818	B	B
4256	2937	8512	5874	-4256	-1212	1	1	0.8045577036709629	0.8055533991471695	B	B
4257	2937	8514	5874	-4257	-1212	1	1	0.7950403763653807	0.8055533991471695	B	B
4258	2937	8516	5874	-4258	-1212	1	1	0.14433065534991152	0.1520372454774349	B	B
4259	2937	8518	5874	-4259	-1212	1	1	0.6103156791463534	0.6336483877439453	B	B
4262	2943	8524	5886	-4262	-1212	1	1	0.31278945548476556	0.3328687627974606	B	B
4266	2943	8532	5886	-4266	-1212	1	1	0.9684211016560744	0.9708335991200716	B	B
4267	2943	8534	5886	-4267	-1212	1	1	0.8980612746120892	0.9027350063094405	B	B
4268	2949	8536	5898	-4268	-1212	1	1	0.29064782795536137	0.2944125893639117	B	B
4269	2949	8538	5898	-4269	-1212	1	1	0.10349734982385017	0.1179020570763114	B	B
4271	2949	8542	5898	-4271	-1212	1	1	0.1730149185001464	0.18513987923672703	B	B
4272	2949	8544	5898	-4272	-1212	1	1	0.9174201951898477	0.9201280995449436	B	B
4273	2949	8546	5898	-4273	-1212	1	1	0.23994166398579542	0.25854697252696457	B	B
4274	2955	8548	5910	-4274	-1212	1	1	0.4101885357025774	0.45243048498421456	B	B
4275	2955	8550	5910	-4275	-1212	1	1	0.7521867562756089	0.7588862688703896	B	B
4276	2955	8552	5910	-4276	-1212	1	1	0.9245442830198295	0.940938327787818	B	B
4277	2955	8554	5910	-4277	-1212	1	1	0.6353800158117858	0.6482322739693153	B	B
4279	2955	8558	5910	-4279	-1212	1	1	0.3482400683660951	0.350578695746261	B	B
4281	2961	8562	5922	-4281	-1212	1	1	0.7060899140297662	0.7191643211606201	B	B
4282	2961	8564	5922	-4282	-1212	1	1	0.10429935515033706	0.1179020570763114	B	B
4283	2961	8566	5922	-4283	-1212	1	1	0.3487947724696149	0.350578695746261	B	B
4284	2961	8568	5922	-4284	-1212	1	1	0.1857835692283989	0.18513987923672703	B	B
4285	2966	8570	5932	-4285	-1212	1	1	0.8720419627297581	0.8839101610867179	B	B
4286	2966	8572	5932	-4286	-1212	1	1	0.7824973294483996	0.7922948059168434	B	B
4288	2966	8576	5932	-4288	-1212	1	1	0.7122245129927739	0.7191643211606201	B	B
4289	2966	8578	5932	-4289	-1212	1	1	0.7185520617116719	0.7386408776802375	B	B
4291	2972	8582	5944	-4291	-1212	1	1	0.7929123496858824	0.8055533991471695	B	B
4292	2972	8584	5944	-4292	-1212	1	1	0.5217111911788546	0.5468257337781519	B	B
4294	2972	8588	5944	-4294	-1212	1	1	0.015215838242605306	0.024809866852586904	B	B
4295	2972	8590	5944	-4295	-1212	1	1	0.5212076281561175	0.5468257337781519	B	B
4297	2978	8594	5956	-4297	-1212	1	1	0.9638566452067537	0.9708335991200716	B	B
4298	2978	8596	5956	-4298	-1212	1	1	0.7036613476372894	0.7025024851846564	B	B
4302	2978	8604	5956	-4302	-1212	1	1	0.3517424904638048	0.3645500084328399	B	B
4306	2984	8612	5968	-4306	-1212	1	1	0.7129115578401104	0.7191643211606201	B	B
4308	2989	8616	5978	-4308	-1212	1	1	0.7150648318022246	0.7191643211606201	B	B
4311	2989	8622	5978	-4311	-1212	1	1	0.2228237715455419	0.23168224529179748	B	B
4312	2989	8624	5978	-4312	-1212	1	1	0.742558742156818	0.7588862688703896	B	B
4313	2989	8626	5978	-4313	-1212	1	1	0.8542427085748011	0.8710826164665462	B	B
4315	2995	8630	5990	-4315	-1212	1	1	0.47500909356534304	0.4982817158659174	B	B
4316	2995	8632	5990	-4316	-1212	1	1	0.19139713698435679	0.18513987923672703	B	B
4318	2995	8636	5990	-4318	-1212	1	1	0.803133538931334	0.8055533991471695	B	B
4319	2995	8638	5990	-4319	-1212	1	1	0.2069238361599709	0.22041899908405316	B	B
4320	3001	8640	6002	-4320	-1212	1	1	0.7096575853701171	0.7191643211606201	B	B
4323	3001	8646	6002	-4323	-1212	1	1	0.2437510509212658	0.25854697252696457	B	B
4325	3001	8650	6002	-4325	-1212	1	1	0.9606428325000324	0.9550538593999985	B	B
4326	3007	8652	6014	-4326	-1212	1	1	0.7165718695209178	0.7191643211606201	B	B
4327	3007	8654	6014	-4327	-1212	1	1	0.6589443009707437	0.6618908494241688	B	B
4328	3007	8656	6014	-4328	-1212	1	1	0.836604570279811	0.8457692599892734	B	B
4329	3007	8658	6014	-4329	-1212	1	1	0.5152741486237512	0.5468257337781519	B	B
4332	3013	8664	6026	-4332	-1212	1	1	0.6005461911446488	0.6131793130866995	B	B
4333	3013	8666	6026	-4333	-1212	1	1	0.09059183233442147	0.09631320509214214	B	B
4334	3013	8668	6026	-4334	-1212	1	1	0.9286804433757875	0.940938327787818	B	B
4336	3013	8672	6026	-4336	-1212	1	1	0.9783990477750464	0.9708335991200716	B	B
4339	3018	8678	6036	-4339	-1212	1	1	0.6195322843135529	0.6482322739693153	B	B
4340	3018	8680	6036	-4340	-1212	1	1	0.5881396082945912	0.6131793130866995	B	B
4342	3018	8684	6036	-4342	-1212	1	1	0.8392534197288339	0.8457692599892734	B	B
4343	3024	8686	6048	-4343	-1212	1	1	0.049232609891355805	0.062353353740606354	B	B
4344	3024	8688	6048	-4344	-1212	1	1	0.20462006660510013	0.22041899908405316	B	B
4345	3024	8690	6048	-4345	-1212	1	1	0.32839573048863147	0.350578695746261	B	B
4346	3024	8692	6048	-4346	-1212	1	1	0.9897244387540585	0.985744768217679	B	B
4348	3024	8696	6048	-4348	-1212	1	1	0.3980471063328843	0.41618841333222234	B	B
4351	2700	8702	5400	-4351	-1212	1	1	0.2586056750021758	0.25854697252696457	B	B
4352	2700	8704	5400	-4352	-1212	1	1	0.18482530016513488	0.18513987923672703	B	B
4354	2700	8708	5400	-4354	-1212	1	1	0.8479157168169674	0.8457692599892734	B	B
4356	2706	8712	5412	-4356	-1212	1	1	0.6647740326609289	0.6482322739693153	B	B
4357	2706	8714	5412	-4357	-1212	1	1	0.30053582180696614	0.3154430469533932	B	B
4358	2706	8716	5412	-4358	-1212	1	1	0.32755199287265757	0.350578695746261	B	B
4360	2706	8720	5412	-4360	-1212	1	1	0.7931235811357097	0.7922948059168434	B	B
4361	2712	8722	5424	-4361	-1212	1	1	0.9182048757674636	0.940938327787818	B	B
4362	2712	8724	5424	-4362	-1212	1	1	0.29283454943269016	0.3154430469533932	B	B
4363	2712	8726	5424	-4363	-1212	1	1	0.6795746283566663	0.6827160525262556	B	B
4364	2712	8728	5424	-4364	-1212	1	1	0.3009405501492811	0.3328687627974606	B	B
4365	2712	8730	5424	-4365	-1212	1	1	0.2951046434484085	0.3154430469533932	B	B
4366	2717	8732	5434	-4366	-1212	1	1	0.594083740554825	0.582537627789942	B	B
4369	2717	8738	5434	-4369	-1212	1	1	0.7934856412089357	0.7922948059168434	B	B
4372	2723	8744	5446	-4372	-1212	1	1	0.0025297686960493726	0.008592140326145858	B	B
4373	2723	8746	5446	-4373	-1212	1	1	0.3911565528335159	0.41618841333222234	B	B
4375	2723	8750	5446	-4375	-1212	1	1	0.05492265574696531	0.062353353740606354	B	B
4376	2723	8752	5446	-4376	-1212	1	1	0.9399163079171451	0.9550538593999985	B	B
4378	2729	8756	5458	-4378	-1212	1	1	0.30145394757128374	0.3328687627974606	B	B
4379	2729	8758	5458	-4379	-1212	1	1	0.781600486535817	0.7741845154294321	B	B
4380	2729	8760	5458	-4380	-1212	1	1	0.7741187199688483	0.7588862688703896	B	B
4381	2729	8762	5458	-4381	-1212	1	1	0.08965737848478483	0.1179020570763114	B	B
4382	2729	8764	5458	-4382	-1212	1	1	0.16238743697151825	0.1642650866458556	B	B
4385	2735	8770	5470	-4385	-1212	1	1	0.7286362355938132	0.7191643211606201	B	B
4387	2735	8774	5470	-4387	-1212	1	1	0.8501436430609897	0.8710826164665462	B	B
4389	2735	8778	5470	-4389	-1212	1	1	0.8987751279400441	0.9027350063094405	B	B
4391	2741	8782	5482	-4391	-1212	1	1	0.0756851337050829	0.07522454865778105	B	B
4392	2741	8784	5482	-4392	-1212	1	1	0.7855410990546287	0.7741845154294321	B	B
4393	2741	8786	5482	-4393	-1212	1	1	0.1332589368626127	0.1520372454774349	B	B
4394	2741	8788	5482	-4394	-1212	1	1	0.6736393472142699	0.6618908494241688	B	B
4395	2746	8790	5492	-4395	-1212	1	1	0.8081508558600542	0.8055533991471695	B	B
4396	2746	8792	5492	-4396	-1212	1	1	0.33513772349864435	0.350578695746261	B	B
4397	2746	8794	5492	-4397	-1212	1	1	0.5802526249128186	0.5687152792565979	B	B
4399	2746	8798	5492	-4399	-1212	1	1	0.1667160738529827	0.18513987923672703	B	B
4400	2746	8800	5492	-4400	-1212	1	1	0.13128162142473854	0.1520372454774349	B	B
4401	2752	8802	5504	-4401	-1212	1	1	0.9987256497581195	0.985744768217679	B	B
4402	2752	8804	5504	-4402	-1212	1	1	0.3580189033346318	0.3837438429114993	B	B
4405	2752	8810	5504	-4405	-1212	1	1	0.06086820625693601	0.062353353740606354	B	B
4406	2752	8812	5504	-4406	-1212	1	1	0.36326959483172827	0.3837438429114993	B	B
4407	2758	8814	5516	-4407	-1212	1	1	0.44292482729421034	0.47641504446250105	B	B
4408	2758	8816	5516	-4408	-1212	1	1	0.8421960636617657	0.8457692599892734	B	B
4409	2758	8818	5516	-4409	-1212	1	1	0.3659216676741307	0.3837438429114993	B	B
4410	2758	8820	5516	-4410	-1212	1	1	0.20428369895411636	0.20132664405148248	B	B
4411	2758	8822	5516	-4411	-1212	1	1	0.81093086149687	0.8055533991471695	B	B
4412	2758	8824	5516	-4412	-1212	1	1	0.3281681792663501	0.350578695746261	B	B
4414	2764	8828	5528	-4414	-1212	1	1	0.33457118209065917	0.350578695746261	B	B
4415	2764	8830	5528	-4415	-1212	1	1	0.6719795713892815	0.6618908494241688	B	B
4417	2764	8834	5528	-4417	-1212	1	1	0.1819463948438711	0.18513987923672703	B	B
4418	2769	8836	5538	-4418	-1212	1	1	0.976273838521461	0.9708335991200716	B	B
4419	2769	8838	5538	-4419	-1212	1	1	0.5631318027164631	0.5468257337781519	B	B
4420	2769	8840	5538	-4420	-1212	1	1	0.7575238665214757	0.7386408776802375	B	B
4421	2769	8842	5538	-4421	-1212	1	1	0.27476148850200977	0.27476148850200977	B	B
4422	2769	8844	5538	-4422	-1212	1	1	0.6033616116744528	0.5979874343679255	B	B
4423	2769	8846	5538	-4423	-1212	1	1	0.07059485033477464	0.07522454865778105	B	B
4425	2775	8850	5550	-4425	-1212	1	1	0.5039522150478926	0.5200480604633302	B	B
4426	2775	8852	5550	-4426	-1212	1	1	0.6842390320124048	0.6827160525262556	B	B
4428	2775	8856	5550	-4428	-1212	1	1	0.1659534001065116	0.18513987923672703	B	B
4431	2781	8862	5562	-4431	-1212	1	1	0.5353711697657213	0.5364676566761873	B	B
4433	2781	8866	5562	-4433	-1212	1	1	0.9842270411093477	0.985744768217679	B	B
4435	2781	8870	5562	-4435	-1212	1	1	0.6928289607844519	0.6827160525262556	B	B
4437	2787	8874	5574	-4437	-1212	1	1	0.5838542122279549	0.5687152792565979	B	B
4438	2787	8876	5574	-4438	-1212	1	1	0.1176595431916263	0.13575200988301828	B	B
4439	2787	8878	5574	-4439	-1212	1	1	0.2875056083486349	0.2944125893639117	B	B
4440	2787	8880	5574	-4440	-1212	1	1	0.14001508031831478	0.1642650866458556	B	B
4441	2787	8882	5574	-4441	-1212	1	1	0.6325024903158556	0.6131793130866995	B	B
4442	2793	8884	5586	-4442	-1212	1	1	0.8624736881352552	0.8839101610867179	B	B
4444	2793	8888	5586	-4444	-1212	1	1	0.5004075010967838	0.5200480604633302	B	B
4446	2793	8892	5586	-4446	-1212	1	1	0.8860922550447079	0.9027350063094405	B	B
4447	2798	8894	5596	-4447	-1212	1	1	0.7953810538088721	0.7922948059168434	B	B
4449	2798	8898	5596	-4449	-1212	1	1	0.07533806180165503	0.07522454865778105	B	B
4450	2798	8900	5596	-4450	-1212	1	1	0.07845305589259566	0.07522454865778105	B	B
4451	2798	8902	5596	-4451	-1212	1	1	0.49178515208762286	0.4982817158659174	B	B
4452	2798	8904	5596	-4452	-1212	1	1	0.3445460311210281	0.3645500084328399	B	B
4453	2804	8906	5608	-4453	-1212	1	1	0.23691384410895966	0.22041899908405316	B	B
4456	2804	8912	5608	-4456	-1212	1	1	0.5092136158969195	0.5200480604633302	B	B
4457	2804	8914	5608	-4457	-1212	1	1	0.42721010968719597	0.45243048498421456	B	B
4459	2810	8918	5620	-4459	-1212	1	1	0.9826141702713594	0.985744768217679	B	B
4460	2810	8920	5620	-4460	-1212	1	1	0.12127782881893578	0.1520372454774349	B	B
4461	2810	8922	5620	-4461	-1212	1	1	0.7393111581178288	0.7386408776802375	B	B
4462	2810	8924	5620	-4462	-1212	1	1	0.47398622583014016	0.4824381759363401	B	B
4463	2810	8926	5620	-4463	-1212	1	1	0.7287034329286428	0.7191643211606201	B	B
4464	2810	8928	5620	-4464	-1212	1	1	0.6546470384750555	0.6482322739693153	B	B
4465	2816	8930	5632	-4465	-1212	1	1	0.5110372570660109	0.5364676566761873	B	B
4466	2816	8932	5632	-4466	-1212	1	1	0.19582092704629717	0.18513987923672703	B	B
4468	2816	8936	5632	-4468	-1212	1	1	0.7753706398994326	0.7741845154294321	B	B
4469	2816	8938	5632	-4469	-1212	1	1	0.8538860826530222	0.8710826164665462	B	B
4470	2816	8940	5632	-4470	-1212	1	1	0.5923583258481854	0.582537627789942	B	B
4471	2822	8942	5644	-4471	-1212	1	1	0.09410853813850661	0.1179020570763114	B	B
4474	2822	8948	5644	-4474	-1212	1	1	0.021111591585665	0.024809866852586904	B	B
4475	2822	8950	5644	-4475	-1212	1	1	0.9696784051641747	0.9708335991200716	B	B
4480	2827	8960	5654	-4480	-1212	1	1	0.13332048106683558	0.1520372454774349	B	B
4481	2827	8962	5654	-4481	-1212	1	1	0.5850274437762297	0.582537627789942	B	B
4482	2833	8964	5666	-4482	-1212	1	1	0.08076588561719444	0.09631320509214214	B	B
4483	2833	8966	5666	-4483	-1212	1	1	0.8945071089576312	0.9027350063094405	B	B
4484	2833	8968	5666	-4484	-1212	1	1	0.6544563103459061	0.6482322739693153	B	B
4485	2833	8970	5666	-4485	-1212	1	1	0.4377265474748253	0.47641504446250105	B	B
4486	2833	8972	5666	-4486	-1212	1	1	0.26573874279383525	0.25854697252696457	B	B
4488	2839	8976	5678	-4488	-1212	1	1	0.04053810212855491	0.040223196869210165	B	B
4490	2839	8980	5678	-4490	-1212	1	1	0.40835142549963177	0.4283262058113855	B	B
4498	2845	8996	5690	-4498	-1212	1	1	0.20273608034210422	0.20132664405148248	B	B
4500	2851	9000	5702	-4500	-1212	1	1	0.8474910897366463	0.8457692599892734	B	B
4501	2851	9002	5702	-4501	-1212	1	1	0.233096106331956	0.22041899908405316	B	B
4504	2851	9008	5702	-4504	-1212	1	1	0.5589583969691236	0.5468257337781519	B	B
4506	2856	9012	5712	-4506	-1212	1	1	0.03615066357372776	0.024809866852586904	B	B
4507	2856	9014	5712	-4507	-1212	1	1	0.08461399028443273	0.09631320509214214	B	B
4509	2856	9018	5712	-4509	-1212	1	1	0.9932898320863071	0.985744768217679	B	B
4511	2862	9022	5724	-4511	-1212	1	1	0.8003611410180456	0.8055533991471695	B	B
4512	2862	9024	5724	-4512	-1212	1	1	0.43011512762794624	0.45243048498421456	B	B
4513	2862	9026	5724	-4513	-1212	1	1	0.7583607730033107	0.7588862688703896	B	B
4514	2862	9028	5724	-4514	-1212	1	1	0.3681161774843513	0.3976380625702378	B	B
