Feature_A_(i),Feature_A_(i)-noConstant_Feature,Feature_B_(2i),Feature_B_(2i)-noConstant_Feature,Feature_C_(-i),Feature_C_(-i)-noConstant_Feature,Constant_Feature,Constant_Feature-noConstant_Feature,Random_Feature,Random_Feature-noConstant_Feature,Outcome,Outcome-noConstant_Feature
5150,5150,10300,10300,-5150,-5150,1,1,0.01851096233516103,0.01851096233516103,B,B
5151,5151,10302,10302,-5151,-5151,1,1,0.9335552318738451,0.9335552318738451,B,B
5154,5154,10308,10308,-5154,-5154,1,1,0.9315902741970327,0.9315902741970327,B,B
5155,5155,10310,10310,-5155,-5155,1,1,0.23244355929604532,0.23244355929604532,B,B
5156,5156,10312,10312,-5156,-5156,1,1,0.582537627789942,0.582537627789942,B,B
5157,5157,10314,10314,-5157,-5157,1,1,0.3658606941143284,0.3658606941143284,B,B
5158,5158,10316,10316,-5158,-5158,1,1,0.7727300561692416,0.7727300561692416,B,B
5160,5160,10320,10320,-5160,-5160,1,1,0.022185335541667572,0.022185335541667572,B,B
5161,5161,10322,10322,-5161,-5161,1,1,0.05686515404583836,0.05686515404583836,B,B
5162,5162,10324,10324,-5162,-5162,1,1,0.7793573198673707,0.7793573198673707,B,B
5163,5163,10326,10326,-5163,-5163,1,1,0.9439888497038574,0.9439888497038574,B,B
5164,5164,10328,10328,-5164,-5164,1,1,0.9416363813193819,0.9416363813193819,B,B
5166,5166,10332,10332,-5166,-5166,1,1,0.34394625120281785,0.34394625120281785,B,B
5168,5168,10336,10336,-5168,-5168,1,1,0.9857717531918516,0.9857717531918516,B,B
5169,5169,10338,10338,-5169,-5169,1,1,0.3842281942914275,0.3842281942914275,B,B
5172,5172,10344,10344,-5172,-5172,1,1,0.6424145982950707,0.6424145982950707,B,B
5173,5173,10346,10346,-5173,-5173,1,1,0.5423606049738098,0.5423606049738098,B,B
5175,5175,10350,10350,-5175,-5175,1,1,0.6048896447861067,0.6048896447861067,B,B
5179,5179,10358,10358,-5179,-5179,1,1,0.4510155190547783,0.4510155190547783,B,B
5180,5180,10360,10360,-5180,-5180,1,1,0.14974948721306924,0.14974948721306924,B,B
5181,5181,10362,10362,-5181,-5181,1,1,0.1431937361763479,0.1431937361763479,B,B
5182,5182,10364,10364,-5182,-5182,1,1,0.4627858932606661,0.4627858932606661,B,B
5183,5183,10366,10366,-5183,-5183,1,1,0.5856758887970422,0.5856758887970422,B,B
5184,5184,10368,10368,-5184,-5184,1,1,0.8613404262525491,0.8613404262525491,B,B
5185,5185,10370,10370,-5185,-5185,1,1,0.325252607208695,0.325252607208695,B,B
5188,5188,10376,10376,-5188,-5188,1,1,0.058055863947706565,0.058055863947706565,B,B
5191,5191,10382,10382,-5191,-5191,1,1,0.20051742289309005,0.20051742289309005,B,B
5192,5192,10384,10384,-5192,-5192,1,1,0.09325787692822507,0.09325787692822507,B,B
5193,5193,10386,10386,-5193,-5193,1,1,0.33389409827057437,0.33389409827057437,B,B
5195,5195,10390,10390,-5195,-5195,1,1,0.014454281775754252,0.014454281775754252,B,B
5198,5198,10396,10396,-5198,-5198,1,1,0.7995195827890836,0.7995195827890836,B,B
5201,5201,10402,10402,-5201,-5201,1,1,0.6499095060994966,0.6499095060994966,B,B
5202,5202,10404,10404,-5202,-5202,1,1,0.2299326684293156,0.2299326684293156,B,B
5203,5203,10406,10406,-5203,-5203,1,1,0.2609606372954797,0.2609606372954797,B,B
5204,5204,10408,10408,-5204,-5204,1,1,0.5138995509532749,0.5138995509532749,B,B
5205,5205,10410,10410,-5205,-5205,1,1,0.6858886272114586,0.6858886272114586,B,B
5206,5206,10412,10412,-5206,-5206,1,1,0.15167798519304254,0.15167798519304254,B,B
5207,5207,10414,10414,-5207,-5207,1,1,0.8617767550130003,0.8617767550130003,B,B
5208,5208,10416,10416,-5208,-5208,1,1,0.07359670945780727,0.07359670945780727,B,B
5209,5209,10418,10418,-5209,-5209,1,1,0.02934915721353648,0.02934915721353648,B,B
5210,5210,10420,10420,-5210,-5210,1,1,0.8993360997424313,0.8993360997424313,B,B
5211,5211,10422,10422,-5211,-5211,1,1,0.8758266274724348,0.8758266274724348,B,B
5212,5212,10424,10424,-5212,-5212,1,1,0.07779264926151785,0.07779264926151785,B,B
5215,5215,10430,10430,-5215,-5215,1,1,0.28818761053423314,0.28818761053423314,B,B
5216,5216,10432,10432,-5216,-5216,1,1,0.2228457884286288,0.2228457884286288,B,B
5217,5217,10434,10434,-5217,-5217,1,1,0.6619389164588547,0.6619389164588547,B,B
5219,5219,10438,10438,-5219,-5219,1,1,0.7927245207347263,0.7927245207347263,B,B
5220,5220,10440,10440,-5220,-5220,1,1,0.9872281829784695,0.9872281829784695,B,B
5223,5223,10446,10446,-5223,-5223,1,1,0.43084017934406293,0.43084017934406293,B,B
5224,5224,10448,10448,-5224,-5224,1,1,0.2401940639130672,0.2401940639130672,B,B
5225,5225,10450,10450,-5225,-5225,1,1,0.4848173846184588,0.4848173846184588,B,B
5226,5226,10452,10452,-5226,-5226,1,1,0.5477978306134171,0.5477978306134171,B,B
5228,5228,10456,10456,-5228,-5228,1,1,0.5330153111137755,0.5330153111137755,B,B
5230,5230,10460,10460,-5230,-5230,1,1,0.04743741345035879,0.04743741345035879,B,B
5231,5231,10462,10462,-5231,-5231,1,1,0.8308408604824963,0.8308408604824963,B,B
5232,5232,10464,10464,-5232,-5232,1,1,0.9391160824883276,0.9391160824883276,B,B
5233,5233,10466,10466,-5233,-5233,1,1,0.20479149534265284,0.20479149534265284,B,B
5234,5234,10468,10468,-5234,-5234,1,1,0.05794504250511345,0.05794504250511345,B,B
5235,5235,10470,10470,-5235,-5235,1,1,0.12647172223635617,0.12647172223635617,B,B
5236,5236,10472,10472,-5236,-5236,1,1,0.022327946760442696,0.022327946760442696,B,B
5237,5237,10474,10474,-5237,-5237,1,1,0.7376129868779303,0.7376129868779303,B,B
5238,5238,10476,10476,-5238,-5238,1,1,0.07546127645275635,0.07546127645275635,B,B
5240,5240,10480,10480,-5240,-5240,1,1,0.11316552254251067,0.11316552254251067,B,B
5241,5241,10482,10482,-5241,-5241,1,1,0.5560969731854732,0.5560969731854732,B,B
5243,5243,10486,10486,-5243,-5243,1,1,0.07263698750266989,0.07263698750266989,B,B
5244,5244,10488,10488,-5244,-5244,1,1,0.7419939595555657,0.7419939595555657,B,B
5247,5247,10494,10494,-5247,-5247,1,1,0.2182364517615022,0.2182364517615022,B,B
5248,5248,10496,10496,-5248,-5248,1,1,0.7570056622367977,0.7570056622367977,B,B
5249,5249,10498,10498,-5249,-5249,1,1,0.2728334624625507,0.2728334624625507,B,B
5250,5250,10500,10500,-5250,-5250,1,1,0.522010721439777,0.522010721439777,B,B
5251,5251,10502,10502,-5251,-5251,1,1,0.1770233786502159,0.1770233786502159,B,B
5252,5252,10504,10504,-5252,-5252,1,1,0.7845526215831992,0.7845526215831992,B,B
5253,5253,10506,10506,-5253,-5253,1,1,0.5280325793755398,0.5280325793755398,B,B
5254,5254,10508,10508,-5254,-5254,1,1,0.5438088723616952,0.5438088723616952,B,B
5257,5257,10514,10514,-5257,-5257,1,1,0.767330992556063,0.767330992556063,B,B
5259,5259,10518,10518,-5259,-5259,1,1,0.7749054488486943,0.7749054488486943,B,B
5260,5260,10520,10520,-5260,-5260,1,1,0.8742130781269516,0.8742130781269516,B,B
5261,5261,10522,10522,-5261,-5261,1,1,0.42284913778235267,0.42284913778235267,B,B
5262,5262,10524,10524,-5262,-5262,1,1,0.17168995386369057,0.17168995386369057,B,B
5264,5264,10528,10528,-5264,-5264,1,1,0.5707143756900209,0.5707143756900209,B,B
5265,5265,10530,10530,-5265,-5265,1,1,0.745916407252705,0.745916407252705,B,B
5266,5266,10532,10532,-5266,-5266,1,1,0.836630823140524,0.836630823140524,B,B
5271,5271,10542,10542,-5271,-5271,1,1,0.9837695389596135,0.9837695389596135,B,B
5272,5272,10544,10544,-5272,-5272,1,1,0.4630727030444246,0.4630727030444246,B,B
5274,5274,10548,10548,-5274,-5274,1,1,0.2938664342738727,0.2938664342738727,B,B
5275,5275,10550,10550,-5275,-5275,1,1,0.7042456298930451,0.7042456298930451,B,B
5276,5276,10552,10552,-5276,-5276,1,1,0.19909557578013637,0.19909557578013637,B,B
5277,5277,10554,10554,-5277,-5277,1,1,0.7396260187825805,0.7396260187825805,B,B
5278,5278,10556,10556,-5278,-5278,1,1,0.9997604042324827,0.9997604042324827,B,B
5280,5280,10560,10560,-5280,-5280,1,1,0.644607601588327,0.644607601588327,B,B
5281,5281,10562,10562,-5281,-5281,1,1,0.41836948577420563,0.41836948577420563,B,B
5282,5282,10564,10564,-5282,-5282,1,1,0.0701697560997313,0.0701697560997313,B,B
5284,5284,10568,10568,-5284,-5284,1,1,0.9608831939496413,0.9608831939496413,B,B
5285,5285,10570,10570,-5285,-5285,1,1,0.4221386719491863,0.4221386719491863,B,B
5286,5286,10572,10572,-5286,-5286,1,1,0.8416007793950352,0.8416007793950352,B,B
5287,5287,10574,10574,-5287,-5287,1,1,0.4007919482145337,0.4007919482145337,B,B
5288,5288,10576,10576,-5288,-5288,1,1,0.8767847464886103,0.8767847464886103,B,B
5289,5289,10578,10578,-5289,-5289,1,1,0.6169145382560259,0.6169145382560259,B,B
5290,5290,10580,10580,-5290,-5290,1,1,0.005587647729556333,0.005587647729556333,B,B
5291,5291,10582,10582,-5291,-5291,1,1,0.905241990830248,0.905241990830248,B,B
5292,5292,10584,10584,-5292,-5292,1,1,0.2865507641619167,0.2865507641619167,B,B
5293,5293,10586,10586,-5293,-5293,1,1,0.23737033152258713,0.23737033152258713,B,B
5294,5294,10588,10588,-5294,-5294,1,1,0.18872275449636344,0.18872275449636344,B,B
5295,5295,10590,10590,-5295,-5295,1,1,0.6670476810508106,0.6670476810508106,B,B
5296,5296,10592,10592,-5296,-5296,1,1,0.7650504588350444,0.7650504588350444,B,B
5298,5298,10596,10596,-5298,-5298,1,1,0.3774518772762553,0.3774518772762553,B,B
5299,5299,10598,10598,-5299,-5299,1,1,0.9071629249543626,0.9071629249543626,B,B
5300,5300,10600,10600,-5300,-5300,1,1,0.18142219760340705,0.18142219760340705,B,B
5301,5301,10602,10602,-5301,-5301,1,1,0.6093154238491372,0.6093154238491372,B,B
5302,5302,10604,10604,-5302,-5302,1,1,0.3335143104688182,0.3335143104688182,B,B
5303,5303,10606,10606,-5303,-5303,1,1,0.6450611585702635,0.6450611585702635,B,B
5305,5305,10610,10610,-5305,-5305,1,1,0.39846085970830203,0.39846085970830203,B,B
5306,5306,10612,10612,-5306,-5306,1,1,0.9114305801203519,0.9114305801203519,B,B
5308,5308,10616,10616,-5308,-5308,1,1,0.1430291169815937,0.1430291169815937,B,B
5310,5310,10620,10620,-5310,-5310,1,1,0.07340035731857308,0.07340035731857308,B,B
5311,5311,10622,10622,-5311,-5311,1,1,0.5402293370495801,0.5402293370495801,B,B
5312,5312,10624,10624,-5312,-5312,1,1,0.3834581458732895,0.3834581458732895,B,B
5314,5314,10628,10628,-5314,-5314,1,1,0.9830973646491348,0.9830973646491348,B,B
5315,5315,10630,10630,-5315,-5315,1,1,0.47570479234007723,0.47570479234007723,B,B
5316,5316,10632,10632,-5316,-5316,1,1,0.13558932989253802,0.13558932989253802,B,B
5318,5318,10636,10636,-5318,-5318,1,1,0.33836221589285975,0.33836221589285975,B,B
5319,5319,10638,10638,-5319,-5319,1,1,0.019977049983589512,0.019977049983589512,B,B
5321,5321,10642,10642,-5321,-5321,1,1,0.9869055815430456,0.9869055815430456,B,B
5323,5323,10646,10646,-5323,-5323,1,1,0.7685371488358171,0.7685371488358171,B,B
5324,5324,10648,10648,-5324,-5324,1,1,0.8617016942099673,0.8617016942099673,B,B
5325,5325,10650,10650,-5325,-5325,1,1,0.644581359725334,0.644581359725334,B,B
5326,5326,10652,10652,-5326,-5326,1,1,0.3389072119142629,0.3389072119142629,B,B
5327,5327,10654,10654,-5327,-5327,1,1,0.6417182181878269,0.6417182181878269,B,B
5329,5329,10658,10658,-5329,-5329,1,1,0.6606880839187464,0.6606880839187464,B,B
5331,5331,10662,10662,-5331,-5331,1,1,0.21463524526215938,0.21463524526215938,B,B
5332,5332,10664,10664,-5332,-5332,1,1,0.06815492004792734,0.06815492004792734,B,B
5334,5334,10668,10668,-5334,-5334,1,1,0.5853450171125806,0.5853450171125806,B,B
5335,5335,10670,10670,-5335,-5335,1,1,0.8576818758292415,0.8576818758292415,B,B
5338,5338,10676,10676,-5338,-5338,1,1,0.4317177112546112,0.4317177112546112,B,B
5340,5340,10680,10680,-5340,-5340,1,1,0.6016217722577313,0.6016217722577313,B,B
5342,5342,10684,10684,-5342,-5342,1,1,0.32977130726220794,0.32977130726220794,B,B
5343,5343,10686,10686,-5343,-5343,1,1,0.051014880770150484,0.051014880770150484,B,B
5344,5344,10688,10688,-5344,-5344,1,1,0.051054678337834725,0.051054678337834725,B,B
5345,5345,10690,10690,-5345,-5345,1,1,0.9064896671833333,0.9064896671833333,B,B
5347,5347,10694,10694,-5347,-5347,1,1,0.6753754663034105,0.6753754663034105,B,B
5348,5348,10696,10696,-5348,-5348,1,1,0.600787432682414,0.600787432682414,B,B
5350,5350,10700,10700,-5350,-5350,1,1,0.9763244885979361,0.9763244885979361,B,B
5351,5351,10702,10702,-5351,-5351,1,1,0.5018626793170837,0.5018626793170837,B,B
5353,5353,10706,10706,-5353,-5353,1,1,0.6687989100321617,0.6687989100321617,B,B
5355,5355,10710,10710,-5355,-5355,1,1,0.4631830846892987,0.4631830846892987,B,B
5357,5357,10714,10714,-5357,-5357,1,1,0.486203470719474,0.486203470719474,B,B
5358,5358,10716,10716,-5358,-5358,1,1,0.24973827059032694,0.24973827059032694,B,B
5359,5359,10718,10718,-5359,-5359,1,1,0.5057929310816888,0.5057929310816888,B,B
5360,5360,10720,10720,-5360,-5360,1,1,0.19579394430057417,0.19579394430057417,B,B
5362,5362,10724,10724,-5362,-5362,1,1,0.93135421350243,0.93135421350243,B,B
5363,5363,10726,10726,-5363,-5363,1,1,0.06471629867701789,0.06471629867701789,B,B
5364,5364,10728,10728,-5364,-5364,1,1,0.8439807944380313,0.8439807944380313,B,B
5367,5367,10734,10734,-5367,-5367,1,1,0.5452782769437312,0.5452782769437312,B,B
5368,5368,10736,10736,-5368,-5368,1,1,0.2601526216567486,0.2601526216567486,B,B
5369,5369,10738,10738,-5369,-5369,1,1,0.2498416107564263,0.2498416107564263,B,B
5370,5370,10740,10740,-5370,-5370,1,1,0.9108926017949189,0.9108926017949189,B,B
5372,5372,10744,10744,-5372,-5372,1,1,0.16120366818909626,0.16120366818909626,B,B
5374,5374,10748,10748,-5374,-5374,1,1,0.5648598793001979,0.5648598793001979,B,B
5375,5375,10750,10750,-5375,-5375,1,1,0.8586645145115397,0.8586645145115397,B,B
5376,5376,10752,10752,-5376,-5376,1,1,0.9408659622418746,0.9408659622418746,B,B
5377,5377,10754,10754,-5377,-5377,1,1,0.6677737194056045,0.6677737194056045,B,B
5378,5378,10756,10756,-5378,-5378,1,1,0.5704144763133351,0.5704144763133351,B,B
5379,5379,10758,10758,-5379,-5379,1,1,0.405562271310831,0.405562271310831,B,B
5380,5380,10760,10760,-5380,-5380,1,1,0.20538534576324674,0.20538534576324674,B,B
5381,5381,10762,10762,-5381,-5381,1,1,0.45892495420304047,0.45892495420304047,B,B
5382,5382,10764,10764,-5382,-5382,1,1,0.018721979969131608,0.018721979969131608,B,B
5383,5383,10766,10766,-5383,-5383,1,1,0.12373358693971659,0.12373358693971659,B,B
5385,5385,10770,10770,-5385,-5385,1,1,0.9268382147623735,0.9268382147623735,B,B
5386,5386,10772,10772,-5386,-5386,1,1,0.13535015514548676,0.13535015514548676,B,B
5388,5388,10776,10776,-5388,-5388,1,1,0.03455060986737557,0.03455060986737557,B,B
5391,5391,10782,10782,-5391,-5391,1,1,0.18655377937203754,0.18655377937203754,B,B
5392,5392,10784,10784,-5392,-5392,1,1,0.1792654166346218,0.1792654166346218,B,B
5393,5393,10786,10786,-5393,-5393,1,1,0.18570870554930918,0.18570870554930918,B,B
5395,5395,10790,10790,-5395,-5395,1,1,0.8651941154180883,0.8651941154180883,B,B
5396,5396,10792,10792,-5396,-5396,1,1,0.11077492771857467,0.11077492771857467,B,B
5398,5398,10796,10796,-5398,-5398,1,1,0.23434018789851407,0.23434018789851407,B,B
5399,5399,10798,10798,-5399,-5399,1,1,0.4271252023242865,0.4271252023242865,B,B
5400,5400,10800,10800,-5400,-5400,1,1,0.7329991614508937,0.7329991614508937,B,B
5401,5401,10802,10802,-5401,-5401,1,1,0.5415866145968812,0.5415866145968812,B,B
5402,5402,10804,10804,-5402,-5402,1,1,0.07082259288285797,0.07082259288285797,B,B
5404,5404,10808,10808,-5404,-5404,1,1,0.20343725306285776,0.20343725306285776,B,B
5406,5406,10812,10812,-5406,-5406,1,1,0.5995654404119927,0.5995654404119927,B,B
5407,5407,10814,10814,-5407,-5407,1,1,0.25574910382986593,0.25574910382986593,B,B
5408,5408,10816,10816,-5408,-5408,1,1,0.21686618591472684,0.21686618591472684,B,B
5412,5412,10824,10824,-5412,-5412,1,1,0.5823866062003817,0.5823866062003817,B,B
5413,5413,10826,10826,-5413,-5413,1,1,0.810117897686087,0.810117897686087,B,B
5414,5414,10828,10828,-5414,-5414,1,1,0.06305199019899876,0.06305199019899876,B,B
5415,5415,10830,10830,-5415,-5415,1,1,0.558303857340576,0.558303857340576,B,B
5416,5416,10832,10832,-5416,-5416,1,1,0.5016941681255025,0.5016941681255025,B,B
5417,5417,10834,10834,-5417,-5417,1,1,0.1777807019990415,0.1777807019990415,B,B
5418,5418,10836,10836,-5418,-5418,1,1,0.4680655388643973,0.4680655388643973,B,B
5419,5419,10838,10838,-5419,-5419,1,1,0.9492316050327129,0.9492316050327129,B,B
5420,5420,10840,10840,-5420,-5420,1,1,0.9799064413882105,0.9799064413882105,B,B
5423,5423,10846,10846,-5423,-5423,1,1,0.1830490079109368,0.1830490079109368,B,B
5425,5425,10850,10850,-5425,-5425,1,1,0.40196612216254246,0.40196612216254246,B,B
5428,5428,10856,10856,-5428,-5428,1,1,0.40220579996383077,0.40220579996383077,B,B
5429,5429,10858,10858,-5429,-5429,1,1,0.41196324037212395,0.41196324037212395,B,B
5430,5430,10860,10860,-5430,-5430,1,1,0.18147822224211352,0.18147822224211352,B,B
5431,5431,10862,10862,-5431,-5431,1,1,0.723115662917478,0.723115662917478,B,B
5432,5432,10864,10864,-5432,-5432,1,1,0.5950184163124067,0.5950184163124067,B,B
5434,5434,10868,10868,-5434,-5434,1,1,0.940938327787818,0.940938327787818,B,B
5435,5435,10870,10870,-5435,-5435,1,1,0.7386822279745531,0.7386822279745531,B,B
5439,5439,10878,10878,-5439,-5439,1,1,0.7845031976548107,0.7845031976548107,B,B
5440,5440,10880,10880,-5440,-5440,1,1,0.6336786297095736,0.6336786297095736,B,B
5442,5442,10884,10884,-5442,-5442,1,1,0.7581486767501735,0.7581486767501735,B,B
5443,5443,10886,10886,-5443,-5443,1,1,0.13997911430294274,0.13997911430294274,B,B
5444,5444,10888,10888,-5444,-5444,1,1,0.8779641962578771,0.8779641962578771,B,B
5445,5445,10890,10890,-5445,-5445,1,1,0.14844444888801678,0.14844444888801678,B,B
5447,5447,10894,10894,-5447,-5447,1,1,0.5357483123362511,0.5357483123362511,B,B
5449,5449,10898,10898,-5449,-5449,1,1,0.19289117551599788,0.19289117551599788,B,B
5450,5450,10900,10900,-5450,-5450,1,1,0.19326101448154875,0.19326101448154875,B,B
5451,5451,10902,10902,-5451,-5451,1,1,0.23965308186956713,0.23965308186956713,B,B
5452,5452,10904,10904,-5452,-5452,1,1,0.7313863414543236,0.7313863414543236,B,B
5454,5454,10908,10908,-5454,-5454,1,1,0.5061048425563938,0.5061048425563938,B,B
5455,5455,10910,10910,-5455,-5455,1,1,0.9041591581947559,0.9041591581947559,B,B
5456,5456,10912,10912,-5456,-5456,1,1,0.33162893288959183,0.33162893288959183,B,B
5457,5457,10914,10914,-5457,-5457,1,1,0.3700526833215747,0.3700526833215747,B,B
5458,5458,10916,10916,-5458,-5458,1,1,0.4699649030897072,0.4699649030897072,B,B
5459,5459,10918,10918,-5459,-5459,1,1,0.007789997983835062,0.007789997983835062,B,B
5462,5462,10924,10924,-5462,-5462,1,1,0.7602959417246893,0.7602959417246893,B,B
5464,5464,10928,10928,-5464,-5464,1,1,0.2299456053081722,0.2299456053081722,B,B
5465,5465,10930,10930,-5465,-5465,1,1,0.39374854899515155,0.39374854899515155,B,B
5466,5466,10932,10932,-5466,-5466,1,1,0.06556501829373995,0.06556501829373995,B,B
5467,5467,10934,10934,-5467,-5467,1,1,0.27159918253018733,0.27159918253018733,B,B
5469,5469,10938,10938,-5469,-5469,1,1,0.5098228515954835,0.5098228515954835,B,B
5470,5470,10940,10940,-5470,-5470,1,1,0.526407683572576,0.526407683572576,B,B
5471,5471,10942,10942,-5471,-5471,1,1,0.37932594841000944,0.37932594841000944,B,B
5472,5472,10944,10944,-5472,-5472,1,1,0.7508320371153462,0.7508320371153462,B,B
5473,5473,10946,10946,-5473,-5473,1,1,0.3407078553220654,0.3407078553220654,B,B
5474,5474,10948,10948,-5474,-5474,1,1,0.7742158751645968,0.7742158751645968,B,B
5476,5476,10952,10952,-5476,-5476,1,1,0.9405719699361824,0.9405719699361824,B,B
5478,5478,10956,10956,-5478,-5478,1,1,0.3831931198097118,0.3831931198097118,B,B
5479,5479,10958,10958,-5479,-5479,1,1,0.6730146873847402,0.6730146873847402,B,B
5480,5480,10960,10960,-5480,-5480,1,1,0.074217397833242,0.074217397833242,B,B
5481,5481,10962,10962,-5481,-5481,1,1,0.46618200968861967,0.46618200968861967,B,B
5482,5482,10964,10964,-5482,-5482,1,1,0.5173332164683112,0.5173332164683112,B,B
5485,5485,10970,10970,-5485,-5485,1,1,0.8563250549015817,0.8563250549015817,B,B
5486,5486,10972,10972,-5486,-5486,1,1,0.10623406231172305,0.10623406231172305,B,B
5487,5487,10974,10974,-5487,-5487,1,1,0.8695280045231318,0.8695280045231318,B,B
5488,5488,10976,10976,-5488,-5488,1,1,0.07485516309930662,0.07485516309930662,B,B
5489,5489,10978,10978,-5489,-5489,1,1,0.7154946813433717,0.7154946813433717,B,B
5491,5491,10982,10982,-5491,-5491,1,1,0.6391798774038199,0.6391798774038199,B,B
5492,5492,10984,10984,-5492,-5492,1,1,0.7038916533661504,0.7038916533661504,B,B
5494,5494,10988,10988,-5494,-5494,1,1,0.3485884069485735,0.3485884069485735,B,B
5495,5495,10990,10990,-5495,-5495,1,1,0.6813879803491822,0.6813879803491822,B,B
5496,5496,10992,10992,-5496,-5496,1,1,0.3183845136301866,0.3183845136301866,B,B
5497,5497,10994,10994,-5497,-5497,1,1,0.36363275345615553,0.36363275345615553,B,B
5498,5498,10996,10996,-5498,-5498,1,1,0.6404361541492124,0.6404361541492124,B,B
5499,5499,10998,10998,-5499,-5499,1,1,0.5526629427965694,0.5526629427965694,B,B
5501,5501,11002,11002,-5501,-5501,1,1,0.14452504521485732,0.14452504521485732,B,B
5503,5503,11006,11006,-5503,-5503,1,1,0.11647260538675697,0.11647260538675697,B,B
5505,5505,11010,11010,-5505,-5505,1,1,0.20964834673752808,0.20964834673752808,B,B
5506,5506,11012,11012,-5506,-5506,1,1,0.06980888145496944,0.06980888145496944,B,B
5508,5508,11016,11016,-5508,-5508,1,1,0.383567722732034,0.383567722732034,B,B
5509,5509,11018,11018,-5509,-5509,1,1,0.6268110157106588,0.6268110157106588,B,B
5510,5510,11020,11020,-5510,-5510,1,1,0.9391206883259731,0.9391206883259731,B,B
5511,5511,11022,11022,-5511,-5511,1,1,0.16270661197145353,0.16270661197145353,B,B
5512,5512,11024,11024,-5512,-5512,1,1,0.4089194998309391,0.4089194998309391,B,B
5513,5513,11026,11026,-5513,-5513,1,1,0.847913665398959,0.847913665398959,B,B
5515,5515,11030,11030,-5515,-5515,1,1,0.8683105848692048,0.8683105848692048,B,B
5516,5516,11032,11032,-5516,-5516,1,1,0.39725771214236993,0.39725771214236993,B,B
5519,5519,11038,11038,-5519,-5519,1,1,0.9883891929670434,0.9883891929670434,B,B
5522,5522,11044,11044,-5522,-5522,1,1,0.7709332606202701,0.7709332606202701,B,B
5524,5524,11048,11048,-5524,-5524,1,1,0.3744141594704604,0.3744141594704604,B,B
5525,5525,11050,11050,-5525,-5525,1,1,0.16059696852405736,0.16059696852405736,B,B
5526,5526,11052,11052,-5526,-5526,1,1,0.6526871900283732,0.6526871900283732,B,B
5527,5527,11054,11054,-5527,-5527,1,1,0.04908180716512145,0.04908180716512145,B,B
5528,5528,11056,11056,-5528,-5528,1,1,0.9984503862626004,0.9984503862626004,B,B
5529,5529,11058,11058,-5529,-5529,1,1,0.9852853574363,0.9852853574363,B,B
5530,5530,11060,11060,-5530,-5530,1,1,0.32589736418036297,0.32589736418036297,B,B
5531,5531,11062,11062,-5531,-5531,1,1,0.47321742612812223,0.47321742612812223,B,B
5532,5532,11064,11064,-5532,-5532,1,1,0.03602909239739038,0.03602909239739038,B,B
5533,5533,11066,11066,-5533,-5533,1,1,0.8825175051243881,0.8825175051243881,B,B
5534,5534,11068,11068,-5534,-5534,1,1,0.14555430420893978,0.14555430420893978,B,B
5539,5539,11078,11078,-5539,-5539,1,1,0.07861287924247784,0.07861287924247784,B,B
5540,5540,11080,11080,-5540,-5540,1,1,0.4070363664468485,0.4070363664468485,B,B
5541,5541,11082,11082,-5541,-5541,1,1,0.5906955365914462,0.5906955365914462,B,B
5542,5542,11084,11084,-5542,-5542,1,1,0.023366895464636994,0.023366895464636994,B,B
5543,5543,11086,11086,-5543,-5543,1,1,0.7904777172480826,0.7904777172480826,B,B
5546,5546,11092,11092,-5546,-5546,1,1,0.5101657825199177,0.5101657825199177,B,B
5547,5547,11094,11094,-5547,-5547,1,1,0.6716955913969231,0.6716955913969231,B,B
5548,5548,11096,11096,-5548,-5548,1,1,0.7847729036868485,0.7847729036868485,B,B
5550,5550,11100,11100,-5550,-5550,1,1,0.726991365323171,0.726991365323171,B,B
5553,5553,11106,11106,-5553,-5553,1,1,0.622524380604237,0.622524380604237,B,B
5555,5555,11110,11110,-5555,-5555,1,1,0.20442423338918292,0.20442423338918292,B,B
5556,5556,11112,11112,-5556,-5556,1,1,0.5608514676097559,0.5608514676097559,B,B
5557,5557,11114,11114,-5557,-5557,1,1,0.49018978608025243,0.49018978608025243,B,B
5559,5559,11118,11118,-5559,-5559,1,1,0.19972285475400853,0.19972285475400853,B,B
5560,5560,11120,11120,-5560,-5560,1,1,0.8040594269329853,0.8040594269329853,B,B
5561,5561,11122,11122,-5561,-5561,1,1,0.5485847044460538,0.5485847044460538,B,B
5562,5562,11124,11124,-5562,-5562,1,1,0.804910295899721,0.804910295899721,B,B
5564,5564,11128,11128,-5564,-5564,1,1,0.012161207145946706,0.012161207145946706,B,B
5565,5565,11130,11130,-5565,-5565,1,1,0.9503527763442527,0.9503527763442527,B,B
5566,5566,11132,11132,-5566,-5566,1,1,0.4018753525135067,0.4018753525135067,B,B
5568,5568,11136,11136,-5568,-5568,1,1,0.26139252317341943,0.26139252317341943,B,B
5571,5571,11142,11142,-5571,-5571,1,1,0.02234973872512802,0.02234973872512802,B,B
5573,5573,11146,11146,-5573,-5573,1,1,0.23884972301459972,0.23884972301459972,B,B
5574,5574,11148,11148,-5574,-5574,1,1,0.22800265724705626,0.22800265724705626,B,B
5576,5576,11152,11152,-5576,-5576,1,1,0.1583863003086664,0.1583863003086664,B,B
5578,5578,11156,11156,-5578,-5578,1,1,0.7849304605779454,0.7849304605779454,B,B
5580,5580,11160,11160,-5580,-5580,1,1,0.3234358213554045,0.3234358213554045,B,B
5581,5581,11162,11162,-5581,-5581,1,1,0.3125994902181488,0.3125994902181488,B,B
